PolicyID,Line,Construction,County,Latitude,Longitude,TIV-2020,TIV-2021
119736,Residential,Masonry,Clay,30.102261,-81.711777,498960.0,792148.9
448094,Residential,Masonry,Clay,30.063936,-81.707664,1322376.3,1438163.57
206893,Residential,Wood,Clay,30.089579,-81.700455,190724.4,192476.78
333743,Residential,Wood,Clay,30.063236,-81.707703,79520.76,86854.48
172534,Residential,Wood,Clay,30.060614,-81.702675,254281.5,246144.49
785275,Residential,Masonry,Clay,30.063236,-81.707703,515035.62,884419.17
995932,Commercial,Reinforced Concrete,Clay,30.102226,-81.713882,19260000.0,20610000.0
223488,Residential,Wood,Clay,30.102217,-81.707146,328500.0,348374.25
433512,Residential,Wood,Clay,30.118774,-81.704613,315000.0,265821.57
142071,Residential,Masonry,Clay,30.100628,-81.703751,705600.0,1010842.56
253816,Residential,Masonry,Clay,30.10216,-81.719444,831498.3,1117791.48
894922,Residential,Wood,Clay,30.095957,-81.695099,24059.09,33952.19
422834,Residential,Wood,Clay,30.100073,-81.739822,48115.94,66755.39
582721,Residential,Wood,Clay,30.09248,-81.725167,28869.12,42826.99
842700,Residential,Wood,Clay,30.101356,-81.726248,56135.64,50656.8
874333,Residential,Wood,Clay,30.113743,-81.727463,48115.94,67905.07
580146,Residential,Wood,Clay,30.121655,-81.732391,48115.94,66938.9
456149,Residential,Wood,Clay,30.109537,-81.741661,80192.49,86421.04
767862,Residential,Wood,Clay,30.11824,-81.745335,48115.94,73798.5
353022,Residential,Wood,Clay,30.065799,-81.717416,60946.79,62467.29
367814,Residential,Wood,Clay,30.082993,-81.710581,28869.12,42727.74
671392,Commercial,Reinforced Concrete,Clay,30.091921,-81.711929,13410000.0,11700000.0
772887,Residential,Masonry,Clay,30.117352,-81.711884,1669113.93,2099127.76
983122,Residential,Wood,Clay,30.095783,-81.713181,179562.23,211372.57
934215,Residential,Wood,Clay,30.110518,-81.727478,177744.16,157171.16
385951,Residential,Wood,Clay,30.10288,-81.705719,17757.58,16948.72
716332,Residential,Wood,Clay,30.068468,-81.71624,130129.87,101758.43
751262,Residential,Wood,Clay,30.068468,-81.71624,42854.77,63592.88
633663,Residential,Wood,Clay,30.068468,-81.71624,785.58,662.18
105851,Residential,Wood,Clay,30.068468,-81.71624,170361.91,177176.38
710400,Residential,Wood,Clay,30.068468,-81.71624,1430.89,1861.41
703001,Residential,Wood,Clay,30.079785,-81.706865,129913.27,101692.86
